order_id,customer_id,product_id,quantity,total_amount,order_status,order_date,created_at,updated_at
1,907,208,1,55183.0,Cancelled,2026-08-06 16:55:38.525523,2026-08-06 16:55:38.525523,2026-08-06 16:55:38.525523
2,839,383,5,128045.0,Processing,2026-08-06 16:55:39.542700,2026-08-06 16:55:39.542700,2026-08-06 16:55:39.542700
3,166,390,2,159620.0,Pending,2026-08-06 16:55:40.508053,2026-08-06 16:55:40.508053,2026-08-06 16:55:40.508053
4,247,76,4,384096.0,Processing,2026-08-06 16:55:41.318406,2026-08-06 16:55:41.318406,2026-08-06 16:55:41.318406
5,537,101,1,29365.0,Processing,2026-08-06 16:55:42.428466,2026-08-06 16:55:42.428466,2026-08-06 16:55:42.428466
6,601,131,5,54270.0,Shipped,2026-08-06 16:55:43.243249,2026-08-06 16:55:43.243249,2026-08-06 16:55:43.243249
7,840,213,1,89076.0,Cancelled,2026-08-06 16:55:44.034292,2026-08-06 16:55:44.034292,2026-08-06 16:55:44.034292
8,844,333,2,119398.0,Processing,2026-08-06 16:55:45.005771,2026-08-06 16:55:45.005771,2026-08-06 16:55:45.005771
9,280,52,5,410535.0,Processing,2026-08-06 16:55:45.803055,2026-08-06 16:55:45.803055,2026-08-06 16:55:45.803055
10,9,255,1,83585.0,Delivered,2026-08-06 16:55:46.703062,2026-08-06 16:55:46.703062,2026-08-06 16:55:46.703062
11,920,98,4,125240.0,Cancelled,2026-08-06 16:55:47.479965,2026-08-06 16:55:47.479965,2026-08-06 16:55:47.479965
12,654,54,5,4165.0,Pending,2026-08-06 16:55:48.403355,2026-08-06 16:55:48.403355,2026-08-06 16:55:48.403355
13,969,37,2,85074.0,Pending,2026-08-06 16:55:49.387957,2026-08-06 16:55:49.387957,2026-08-06 16:55:49.387957
14,543,407,1,68712.0,Delivered,2026-08-06 16:55:50.220269,2026-08-06 16:55:50.220269,2026-08-06 16:55:50.220269
15,813,140,4,88968.0,Delivered,2026-08-06 16:55:51.068261,2026-08-06 16:55:51.068261,2026-08-06 16:55:51.068261
16,289,423,5,267185.0,Processing,2026-08-06 16:55:52.170673,2026-08-06 16:55:52.170673,2026-08-06 16:55:52.170673
17,863,419,1,97939.0,Delivered,2026-08-06 16:55:53.008256,2026-08-06 16:55:53.008256,2026-08-06 16:55:53.008256
18,920,27,5,66115.0,Delivered,2026-08-06 16:55:53.913401,2026-08-06 16:55:53.913401,2026-08-06 16:55:53.913401
19,56,212,3,205728.0,Cancelled,2026-08-06 16:55:54.917892,2026-08-06 16:55:54.917892,2026-08-06 16:55:54.917892
20,624,396,5,216270.0,Shipped,2026-08-06 16:55:55.928330,2026-08-06 16:55:55.928330,2026-08-06 16:55:55.928330
21,806,132,2,17942.0,Delivered,2026-08-06 16:55:56.718267,2026-08-06 16:55:56.718267,2026-08-06 16:55:56.718267
22,107,475,1,69858.0,Processing,2026-08-06 16:55:58.168247,2026-08-06 16:55:58.168247,2026-08-06 16:55:58.168247
23,759,208,5,284675.0,Delivered,2026-08-06 16:55:59.400208,2026-08-06 16:55:59.400208,2026-08-06 16:55:59.400208
24,204,292,3,196380.0,Processing,2026-08-06 16:56:00.525666,2026-08-06 16:56:00.525666,2026-08-06 16:56:00.525666
25,625,317,2,98552.0,Delivered,2026-08-06 16:56:01.405506,2026-08-06 16:56:01.405506,2026-08-06 16:56:01.405506
26,313,164,5,332035.0,Pending,2026-08-06 16:56:02.415732,2026-08-06 16:56:02.415732,2026-08-06 16:56:02.415732
27,897,470,3,54681.0,Delivered,2026-08-06 16:56:03.442916,2026-08-06 16:56:03.442916,2026-08-06 16:56:03.442916
28,770,323,1,94866.0,Delivered,2026-08-06 16:56:04.480636,2026-08-06 16:56:04.480636,2026-08-06 16:56:04.480636
29,138,454,2,150924.0,Shipped,2026-08-06 16:56:05.320564,2026-08-06 16:56:05.320564,2026-08-06 16:56:05.320564
30,331,456,2,165674.0,Pending,2026-08-06 16:56:06.342778,2026-08-06 16:56:06.342778,2026-08-06 16:56:06.342778
31,980,94,4,341960.0,Cancelled,2026-08-06 16:56:07.243638,2026-08-06 16:56:07.243638,2026-08-06 16:56:07.243638
32,262,452,3,7860.0,Processing,2026-08-06 16:56:08.267658,2026-08-06 16:56:08.267658,2026-08-06 16:56:08.267658
33,889,14,3,74283.0,Cancelled,2026-08-06 16:56:09.147561,2026-08-06 16:56:09.147561,2026-08-06 16:56:09.147561
34,451,467,1,69940.0,Delivered,2026-08-06 16:56:10.095779,2026-08-06 16:56:10.095779,2026-08-06 16:56:10.095779
35,700,208,4,386496.0,Pending,2026-08-06 16:56:11.248136,2026-08-06 16:56:11.248136,2026-08-06 16:56:11.248136
36,110,253,4,298540.0,Processing,2026-08-06 16:56:12.286092,2026-08-06 16:56:12.286092,2026-08-06 16:56:12.286092
37,141,265,1,37964.0,Delivered,2026-08-06 16:56:13.127730,2026-08-06 16:56:13.127730,2026-08-06 16:56:13.127730
38,288,203,4,312540.0,Delivered,2026-08-06 16:56:13.913435,2026-08-06 16:56:13.913435,2026-08-06 16:56:13.913435
39,508,231,2,180530.0,Shipped,2026-08-06 16:56:14.755935,2026-08-06 16:56:14.755935,2026-08-06 16:56:14.755935
40,109,450,4,47640.0,Pending,2026-08-06 16:56:15.647693,2026-08-06 16:56:15.647693,2026-08-06 16:56:15.647693
41,394,268,2,103908.0,Delivered,2026-08-06 16:56:16.555736,2026-08-06 16:56:16.555736,2026-08-06 16:56:16.555736
42,867,132,1,1847.0,Delivered,2026-08-06 16:56:17.748097,2026-08-06 16:56:17.748097,2026-08-06 16:56:17.748097
43,686,263,5,72670.0,Delivered,2026-08-06 16:56:18.832616,2026-08-06 16:56:18.832616,2026-08-06 16:56:18.832616
44,469,489,3,173979.0,Pending,2026-08-06 16:56:19.642645,2026-08-06 16:56:19.642645,2026-08-06 16:56:19.642645
45,880,386,1,9295.0,Processing,2026-08-06 16:56:20.653174,2026-08-06 16:56:20.653174,2026-08-06 16:56:20.653174
46,488,68,3,263655.0,Pending,2026-08-06 16:56:21.680596,2026-08-06 16:56:21.680596,2026-08-06 16:56:21.680596
47,559,399,1,25702.0,Pending,2026-08-06 16:56:22.803445,2026-08-06 16:56:22.803445,2026-08-06 16:56:22.803445
48,748,312,5,242305.0,Pending,2026-08-06 16:56:23.583070,2026-08-06 16:56:23.583070,2026-08-06 16:56:23.583070
49,516,81,4,38920.0,Cancelled,2026-08-06 16:56:24.407698,2026-08-06 16:56:24.407698,2026-08-06 16:56:24.407698
50,959,126,2,6122.0,Delivered,2026-08-06 16:56:25.217532,2026-08-06 16:56:25.217532,2026-08-06 16:56:25.217532
