product_id,product_name,category,brand,price,stock,created_at,updated_at
1,Keyboard,Accessories,Dell,25794.0,430,2026-08-06 16:23:24.603283,2026-08-06 16:23:24.603283
2,Headphones,Accessories,Sony,45975.0,115,2026-08-06 16:23:25.587990,2026-08-06 16:23:25.587990
3,Laptop,Electronics,HP,94579.0,380,2026-08-06 16:23:26.862629,2026-08-06 16:23:26.862629
4,Laptop,Electronics,HP,73090.0,302,2026-08-06 16:23:27.817709,2026-08-06 16:23:27.817709
5,Laptop,Electronics,HP,32296.0,419,2026-08-06 16:23:28.811765,2026-08-06 16:23:28.811765
6,Headphones,Accessories,Sony,18719.0,75,2026-08-06 16:23:29.647156,2026-08-06 16:23:29.647156
7,Printer,Electronics,Canon,83583.0,101,2026-08-06 16:23:30.622797,2026-08-06 16:23:30.622797
8,Camera,Electronics,Nikon,47807.0,465,2026-08-06 16:23:31.765000,2026-08-06 16:23:31.765000
9,Tablet,Electronics,Lenovo,83912.0,209,2026-08-06 16:23:32.722236,2026-08-06 16:23:32.722236
10,Headphones,Accessories,Sony,63922.0,400,2026-08-06 16:23:34.067392,2026-08-06 16:23:34.067392
11,Printer,Electronics,Canon,41432.0,71,2026-08-06 16:23:35.077403,2026-08-06 16:23:35.077403
12,Mouse,Accessories,Logitech,37759.0,259,2026-08-06 16:23:36.387961,2026-08-06 16:23:36.387961
13,Keyboard,Accessories,Dell,92409.0,413,2026-08-06 16:23:37.482887,2026-08-06 16:23:37.482887
14,Printer,Electronics,Canon,24713.0,35,2026-08-06 16:23:38.807492,2026-08-06 16:23:38.807492
15,Keyboard,Accessories,Dell,5623.0,329,2026-08-06 16:23:40.082665,2026-08-06 16:23:40.082665
16,Mouse,Accessories,Logitech,47831.0,405,2026-08-06 16:23:41.032579,2026-08-06 16:23:41.032579
17,Mouse,Accessories,Logitech,86973.0,168,2026-08-06 16:23:42.297500,2026-08-06 16:23:42.297500
18,Tablet,Electronics,Lenovo,50744.0,403,2026-08-06 16:23:43.435359,2026-08-06 16:23:43.435359
19,Monitor,Electronics,LG,15296.0,307,2026-08-06 16:23:44.562707,2026-08-06 16:23:44.562707
20,Smartphone,Electronics,Samsung,75898.0,360,2026-08-06 16:23:45.757300,2026-08-06 16:23:45.757300
21,Keyboard,Accessories,Dell,90518.0,24,2026-08-06 16:23:46.894935,2026-08-06 16:23:46.894935
22,Smartphone,Electronics,Samsung,49159.0,347,2026-08-06 16:23:48.032330,2026-08-06 16:23:48.032330
23,Smart Watch,Electronics,Apple,25543.0,173,2026-08-06 16:23:49.284423,2026-08-06 16:23:49.284423
24,Smart Watch,Electronics,Apple,8403.0,267,2026-08-06 16:23:50.127490,2026-08-06 16:23:50.127490
25,Keyboard,Accessories,Dell,5227.0,136,2026-08-06 16:23:51.572671,2026-08-06 16:23:51.572671
26,Tablet,Electronics,Lenovo,50138.0,344,2026-08-06 16:23:52.617033,2026-08-06 16:23:52.617033
27,Smartphone,Electronics,Samsung,77319.0,43,2026-08-06 16:23:53.612574,2026-08-06 16:23:53.612574
